Time	SegmentThrp	EstimateThrp	Bitrate	Buffer	Data	RTT	DataTm	DelayTm
324.7	3011.292346	2762.430939	1200	17.2	50634	0.035	0.762	0.500	
327.2	2225.755167	3011.292346	1400	16.7	50976	0.036	1.222	1.200	
330.0	1518.747034	2225.755167	1600	15.9	51367	0.039	2.068	0.700	
331.3	1825.095057	1518.747034	1200	16.6	51660	0.038	1.277	0.000	
333.1	2488.888889	1825.095057	1400	16.8	52001	0.035	1.090	0.600	
336.9	1048.836447	2488.888889	1600	15.0	52392	0.043	3.008	0.800	
337.7	2010.050251	1048.836447	800	16.2	52587	0.037	0.759	0.000	
338.8	2219.755827	2010.050251	1000	17.1	52832	0.036	0.865	0.200	
341.1	1973.684211	2219.755827	1200	16.8	53125	0.037	1.179	1.100	
343.3	2005.730659	1973.684211	1400	16.6	53466	0.037	1.359	0.700	
346.0	1527.446301	2005.730659	1600	15.9	53857	0.039	2.056	0.600	
348.2	1063.829787	1527.446301	1200	15.7	54150	0.042	2.214	0.000	
349.8	1020.408163	1063.829787	800	16.1	54345	0.041	1.527	0.000	
351.9	791.295747	1020.408163	800	16.0	54541	0.063	1.959	0.100	
352.5	2003.338898	791.295747	600	17.4	54687	0.038	0.561	0.000	
354.4	3312.629400	2003.338898	800	17.5	54882	0.034	0.449	1.400	
356.7	2617.801047	3312.629400	1000	17.2	55126	0.035	0.729	1.500	
358.5	3896.103896	2617.801047	1200	17.4	55419	0.033	0.583	1.200	
360.6	4129.793510	3896.103896	1400	17.3	55761	0.033	0.645	1.400	
362.7	4030.226700	4129.793510	1600	17.2	56152	0.033	0.761	1.300	
364.7	4255.319149	4030.226700	1800	17.2	56591	0.034	0.812	1.200	
366.9	3748.828491	4255.319149	2000	17.0	57080	0.034	1.033	1.100	
374.3	694.006309	3748.828491	2200	11.6	57617	0.039	6.301	1.000	
375.4	684.931507	694.006309	400	12.5	57714	0.051	1.117	0.000	
376.4	881.057269	684.931507	400	13.5	57812	0.048	0.860	0.000	
377.4	1156.069364	881.057269	600	14.5	57958	0.045	0.993	0.000	
378.7	1243.201243	1156.069364	800	15.2	58154	0.041	1.246	0.000	
380.5	877.674163	1243.201243	800	15.4	58349	0.041	1.782	0.000	
382.3	667.779633	877.674163	600	15.6	58496	0.053	1.744	0.000	
383.0	1199.400300	667.779633	400	16.9	58593	0.042	0.625	0.000	
384.4	2242.990654	1199.400300	600	17.5	58740	0.036	0.499	0.900	
386.6	2496.099844	2242.990654	800	17.3	58935	0.035	0.606	1.500	
389.1	1727.115717	2496.099844	1000	16.8	59179	0.039	1.119	1.300	
392.2	1019.974501	1727.115717	1200	15.7	59472	0.039	2.314	0.800	
394.6	682.885190	1019.974501	800	15.3	59667	0.085	2.258	0.000	
395.3	1069.518717	682.885190	400	16.6	59765	0.042	0.706	0.000	
396.7	1501.877347	1069.518717	600	17.2	59912	0.041	0.758	0.600	
399.0	1473.296501	1501.877347	800	16.9	60107	0.039	1.047	1.200	
401.0	1892.147588	1473.296501	1000	16.9	60351	0.036	1.021	0.900	
403.2	1879.404855	1892.147588	1200	16.7	60644	0.036	1.241	0.900	
406.6	1040.118871	1879.404855	1400	15.3	60986	0.040	2.652	0.700	
409.4	568.181818	1040.118871	800	14.5	61181	0.064	2.752	0.000	
409.9	1702.127660	568.181818	400	16.0	61279	0.039	0.431	0.000	
410.3	2919.708029	1702.127660	600	17.6	61425	0.034	0.377	0.000	
412.4	2882.882883	2919.708029	800	17.5	61621	0.034	0.521	1.600	
414.6	3021.148036	2882.882883	1000	17.3	61865	0.036	0.626	1.500	
416.7	2895.054282	3021.148036	1200	17.2	62158	0.034	0.795	1.300	
418.7	3174.603175	2895.054282	1400	17.2	62500	0.033	0.849	1.100	
